Engineering Stress	Engineering Strain
132376480.2	0.082114964
132061309.5	0.082419708
131740075.7	0.082724453
131410053.8	0.083030718
131090672	0.083335462
130729218.7	0.083640207
130382090	0.083943127
130027977.3	0.08424635
129683612.3	0.084550791
129309196.8	0.084855535
128911038.7	0.08516028
128546746.8	0.0854632
128130655.2	0.085767944
127760413	0.086071168
127349086.6	0.086375608
126938492.9	0.086680353
126534619.8	0.086983577
126106844.4	0.087286496
125668222	0.087589416
125214871.3	0.087894161
124757863.8	0.088198905
124308995.8	0.08850365
123817144.7	0.088806569
123368643.4	0.089109793
122880382.7	0.089414234
122371904.1	0.089718978
121879592.9	0.090023723
121358180.8	0.090326642
120835696.4	0.090631387
120289883.9	0.090936131
119734737.6	0.091240876
119183857.9	0.09154562
118604084.9	0.091850061
118030600.5	0.092153285
117422647.6	0.092456204
116841850.3	0.092760949
116224564.3	0.093065693
115593968.9	0.093368613
114949640.9	0.093673358
114291326.3	0.093976277
113614429.8	0.094281022
112947270.8	0.094585766
112223790.6	0.094890511
111509869.6	0.095193431
110769733.4	0.095496655
109985533.2	0.095801095
109214295.2	0.096107664
108394950.4	0.096412105
107588398.7	0.096716849
106733975.6	0.097018248
105857933.6	0.097322993
104938852	0.097627737
103980264.9	0.097932482
102982868	0.098236922
101951868	0.098540146
100892265.8	0.098844891
99770214.47	0.099151156
98497960.47	0.099454075
96636928.51	0.09975882
93042941.13	0.10006174
81162915.05	0.100366484
75749606.39	0.100669708
70877058.03	0.100974148
65930222.04	0.101278893
60932939.44	0.101583637
55506010.93	0.101886557
50266825.9	0.102189781
46493850.29	0.102494526
43085200.17	0.102798966
39966343.15	0.10310219
37300677.04	0.103406934
34707978.13	0.103709854
32216455	0.104014599
29591873	0.104319343
27372663.58	0.104623783
25189104.29	0.104927007
23085666.95	0.105228406
21347109.34	0.105533151
19719309.5	0.105837591
17807210.26	0.106144161
15144424.73	0.10644708
11917581.16	0.10675
10127525.65	0.107053224
8812322.119	0.107359489
7800804.878	0.107664234
6903391.926	0.107968978
5828131.203	0.108271898
5088985.702	0.108574818
4475743.482	0.108879562
3031851.135	0.109184307
2435686.291	0.109489051
2425619.849	0.109793796
2431958.789	0.110096715
2444217.83	0.110399635
2436714.886	0.11070438
2429014.298	0.111010645
2438925.147	0.111315389
2428942.809	0.111618613
2427634.987	0.111921533
2453507.99	0.112226277
2438101.766	0.112531022
2442846.089	0.112835462
2440885.618	0.113138686
2440114.382	0.113441606
2442423.045	0.11374635
2451552.565	0.114052616
2428322.119	0.11435736
2449433.978	0.11466028
2439916.737	0.114963504
2441646.762	0.115268248
2447792.262	0.115572689
2462054.668	0.115877433
2462294.365	0.116182178
2459938.604	0.116485097
2461807.401	0.116788321
2444321.278	0.117094586
2442512.195	0.117397506
2454798.991	0.11770073
2460692.178	0.118005474
2456417.998	0.118308394
2459824.222	0.118611314
2457905.803	0.118916058
2454477.712	0.119220803
2451970.563	0.119523723
2455661.06	0.119826946
2464121.11	0.120129866
2444455.004	0.120436131
